request,classification
/tienda1/publico/registro.jsp /modo=registro&login=hews&password=01r1f9co&nombre=Natalio&apellidos=Sams%F3+Agea&email=piesa-diestel%40hacia.tz&dni=22011041H&direccion=C%2F+Dique+De+Abrigo+96+5%3FH&ciudad=Novallas&cp=47649&provincia=Navarra&ntc=3618056132500846&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=hanzlice&password=ras4RojAR&nombre=Thayra&apellidos=Guardiola+Puertolas&email=bearse%40cdgranadabaila.lv&dni=32493489D&direccion=C%2F+Portal+De+Zamudio+65%2C+&ciudad=Sant+Andreu+Salou&cp=37120&provincia=C%E1ceres&ntc=5385467629611173&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Queso+Manchego&precio=100&cantidad=68&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=pue-gilc&pwd=cOacu_9ado&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=2304&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=hoyt&password=tope4a5o&nombre=Dalmacio&apellidos=Lehmann+Cruanas&email=maria-terzon%40lingotes.com.org&dni=46208410F&direccion=Calle+Torreta+126+9C&ciudad=Sukarrieta&cp=05140&provincia=C%E1ceres&ntc=9598787825284298&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=jaki&password=ara%F1erO&nombre=Estanislao&apellidos=Clara&email=mullen%40menorca.com.bf&dni=30591115B&direccion=Padre+Lojendio+53+11%3FC&ciudad=Duesaig%FCes&cp=40171&provincia=C%E1ceres&ntc=7693499164739124&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=83&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=milly7&pwd=4IP7237o8h2dIrA&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=5696&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=hwei-lin&password=DE1l2Nda9uR4&nombre=Canela&apellidos=Montsech+Peleij%E0&email=arksikainen_simor%40paremoselalzheimer.vi&dni=78285910M&direccion=Calle+Reina+Violante%2C+35%2C+&ciudad=Henche&cp=44142&provincia=Segovia&ntc=3909891121634471&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=phillis7&password=e7aTO&nombre=Josefa&apellidos=Vallb%E9+Remesar&email=mcginnis-dellagnese%40storagecraft.na&dni=21444030A&direccion=C%2F+Rivera+De+Los+Limonetes+98+&ciudad=Algemes%ED&cp=47162&provincia=C%E1ceres&ntc=2771560137305516&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Queso+Manchego&precio=100&cantidad=39&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=neusy&pwd=poST3rIor1e.nTE&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=7427&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=crabe&password=larGaR&nombre=Itziar&apellidos=Pellizza+Echevarr%EDa&email=ehrlich.selwyne%40ebaz.ba&dni=88194085X&direccion=Torre-pacheco+35%2C+&ciudad=Clariana+de+Cardener&cp=07460&provincia=Ourense&ntc=4485457754707106&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=mcarthur&password=g53ON3a9u56&nombre=Efra%EDn&apellidos=Virhuez+Prats&email=sripatimakul%40forohh.ic&dni=08968667R&direccion=Camino+El+Pino%2C+151%2C+5-B&ciudad=Argujillo&cp=39450&provincia=Badajoz&ntc=7202990502846857&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Vino+Rioja&precio=85&cantidad=77&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=syrett&pwd=cU%E1KeRa&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=9173&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=brinn&password=huyente&nombre=Nao&apellidos=Guinaldo+Guals&email=wailing%40mariposasentudia.je&dni=52218392C&direccion=Travesia+Palacio+61%2C+1%3FD&ciudad=Vencill%F3n&cp=31439&provincia=Teruel&ntc=9129793967568864&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=faraday&password=8Ef6NDo&nombre=Xixia&apellidos=Paula+Pladellorens&email=euzaine%40schnapps.com.gs&dni=85744372G&direccion=Santa+Barbara+28+&ciudad=Cenicientos&cp=22232&provincia=Lugo&ntc=7057231009442608&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Queso+Manchego&precio=85&cantidad=79&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=lapchak9&pwd=vimbre&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=318&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=bienia&password=canto&nombre=Gianina&apellidos=Burg%E8s+Campa%F1%E0&email=mamakos%40palodegolf.com.rw&dni=84443986S&direccion=Manuel+De+Falla+119%2C+&ciudad=Castillejo+de+Mesle%F3n&cp=33987&provincia=Zaragoza&ntc=9171998825449770&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=maurie&password=0StroP5je0&nombre=Vlentina&apellidos=Fisas&email=marlaud_losee5%40redesmilitantes.tf&dni=54430634F&direccion=Viseu+81+8%3FC&ciudad=Corbera+d%27Ebre&cp=48210&provincia=Murcia&ntc=4713791605534130&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=1&nombre=Queso+Manchego&precio=85&cantidad=22&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=conroy7&pwd=nordes%21tal&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=2095&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=clooney&password=0er_rug%EDneo&nombre=Iair&apellidos=Ruano+Barril&email=loktev%40theroxyblue.aero&dni=29655758H&direccion=Plza.+Taboada+Chivite+32+5%3FB&ciudad=Aguilar+de+Cod%E9s&cp=47529&provincia=Segovia&ntc=1937545396216025&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=jarel&password=des9o89451rac2%F38&nombre=Eneas&apellidos=R%EDos+Rius&email=barres%40engibraltar.bm&dni=62257757T&direccion=C%2F+Espigo%2C+0+10H&ciudad=Retamal+de+Llerena&cp=37788&provincia=Zamora&ntc=4141615236089952&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=35&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=marshaus&pwd=rEgIr&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=859&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=guerette&password=2ilat9r7a&nombre=Rosa&apellidos=Sorts+Bransuel&email=sayle%40miemail.com.ic&dni=27404814S&direccion=Calle+Lirios%2C+51%2C+3%3FA&ciudad=Chelva&cp=39426&provincia=Lugo&ntc=9131603493426395&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=tranfagl&password=legitimaci%F3n&nombre=Jeft%E9&apellidos=Larreynaga+Arce&email=colliti.shale%40ropadegolf.com.dd&dni=68318279E&direccion=Plza.+Padre+Juan+De+Mariana+152+&ciudad=Garaioa&cp=16269&provincia=Tarragona&ntc=1943374801106050&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Vino+Rioja&precio=39&cantidad=45&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=royce&pwd=matacandelas&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=7173&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=dziawa&password=chaScaR&nombre=Tromen&apellidos=Pecell%EDn&email=cary-whitten%40magritte.pe&dni=42836631M&direccion=Calle+Colon+De+Larreategui+48%2C+&ciudad=Llub%ED&cp=36683&provincia=Salamanca&ntc=5690251194310555&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=wenzel&password=borrica&nombre=Mar%EDa+de+Aranz%FA&apellidos=Moretti+Alegre&email=terry%40mtos.ar&dni=56546514W&direccion=Rua+Bamio%2C+190+11%3FH&ciudad=Pelarrodr%EDguez&cp=43550&provincia=Lleida&ntc=0947549871262969&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Queso+Manchego&precio=39&cantidad=19&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=jacobsen&pwd=ayunQue&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=9006&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=raymona&password=8ho0l2&nombre=Torcuarto&apellidos=Pompa&email=maksimovic%40gafasdesol.nom.gl&dni=48748000Y&direccion=Port+Fangos%2C+183%2C+&ciudad=Cualedro&cp=31153&provincia=Granada&ntc=9528500439395561&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=ketchum&password=colmada&nombre=Denice&apellidos=Abell%F3+Lamarca&email=entwistle_ruetting%40comonuevo.ro&dni=90127318R&direccion=Avinguda+Francesc+Macia.%2C+30+3%3FB&ciudad=Briviesca&cp=15553&provincia=Cuenca&ntc=2756434329152004&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=1&nombre=Jam%F3n+Ib%E9rico&precio=85&cantidad=5&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=ersil&pwd=teosa&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=8019&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=aldhizer&password=FlO3A&nombre=Ana&apellidos=Rabanal+Morante&email=robeling.colmar8%40diagnosticoradiologico.nf&dni=63947168S&direccion=Pl.+Pescaderia%2C+158%2C+7-A&ciudad=Somozas%2C+As&cp=50316&provincia=Albacete&ntc=4662359455480921&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=threader&password=dESCOlocaDO&nombre=Mallki&apellidos=Moreno+Undurraga&email=stevenin%40ceramicasmi%F1o.mn&dni=70153244R&direccion=C%2F+Vapor%2C+148%2C+2%3FA&ciudad=Espluga+Calba%2C+L%27&cp=03153&provincia=Palencia&ntc=5838987688567542&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=1&nombre=Jam%F3n+Ib%E9rico&precio=100&cantidad=17&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=derrick&pwd=MaNUmitI6&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=5844&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=karina9&password=7acato&nombre=Augusto&apellidos=Temprano+Canavoso&email=yamasaki%40multaspendientes.eg&dni=11938734D&direccion=C%2F+Francisco+De+Orellana+121%2C+5-E&ciudad=Zigoitia&cp=41230&provincia=Barcelona&ntc=4281924940103467&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=althea4&password=seGLAr&nombre=Floriano&apellidos=Escat+Monistca&email=beaudine%40barnizultravioleta.sz&dni=24120558K&direccion=Calle+Duque+De+Ahumada%2C+67%2C+&ciudad=Cantalejo&cp=48600&provincia=Segovia&ntc=3781089949607589&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Jam%F3n+Ib%E9rico&precio=100&cantidad=49&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=baziuk4&pwd=376g%E1stu90&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=2306&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=lurlene&password=400OL4&nombre=Iara&apellidos=Valdebenito+Garabana&email=selwart%40studentrooms.zr&dni=73949315Z&direccion=Egido+S%2FN+&ciudad=Bobadilla+del+Campo&cp=06227&provincia=Madrid&ntc=0390750196070955&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=gail&password=1oca&nombre=Reginald&apellidos=Conocchiari+Zagal&email=lacey%40bwds.mp&dni=07819871D&direccion=Camino+Viejo%2C+2%2C+&ciudad=Bellreguard&cp=18100&provincia=Guadalajara&ntc=8173502713249650&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Vino+Rioja&precio=100&cantidad=25&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=westgart&pwd=embo4ina80&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=1103&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=ramiz&password=garantir&nombre=Enrico&apellidos=Vallb%F3+Olmos&email=pangborn%40informex.me&dni=07485924E&direccion=C%2F+Las+Chumberas%2C+38%2C+&ciudad=Medina+de+Rioseco&cp=40320&provincia=Segovia&ntc=9431159156347522&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=rees&password=dular&nombre=Kenji&apellidos=Irizar+Morata&email=alarcon%4024htranslations.cr&dni=75817612K&direccion=C%2F+Vallcorba+152%2C+7%3FF&ciudad=Aldeaseca+de+Alba&cp=24226&provincia=Salamanca&ntc=4796381600285073&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Vino+Rioja&precio=85&cantidad=37&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=dalt&pwd=d0s9pi2car&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=7698&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=natiuk&password=atontamiento&nombre=Adalgisa&apellidos=Tasies+Cirujano&email=blomgren%40informex.jp&dni=15680534P&direccion=Dolores+Ibarruri+75+&ciudad=Fuente+el+Olmo+de+Fuentidue%F1a&cp=08698&provincia=Navarra&ntc=4073783110590723&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=masao&password=7U6CaN*i2A04%D3n&nombre=Zidanelia&apellidos=Saleta&email=mitchum%40prestoesesto.gd&dni=94845655A&direccion=El+Reyezuelo%2C+15+&ciudad=San+Vicente+de+la+Cabeza&cp=10459&provincia=Le%F3n&ntc=2785803703823487&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Vino+Rioja&precio=85&cantidad=28&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=franza&pwd=a7%E19ga44&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=7548&B1=Confirmar,0
/tienda1/publico/registro.jsp /modo=registro&login=omura5&password=cont5975614s74&nombre=Amelia&apellidos=Tolosa+Fontanet&email=boa4%40sitienesunawebtienesunnegocio.es&dni=00947908D&direccion=Calle+Arenys+De+Mar%2C+113%2C+&ciudad=Maials&cp=11690&provincia=Le%F3n&ntc=7627570556544379&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=janssen&password=10uCaRE51&nombre=Ivana&apellidos=Ni%F1erola+Porcel&email=marsh%40comerciosaspe.ke&dni=25292190X&direccion=Ildefonso+Cruz+Rodriguez%2C+93+&ciudad=Consell&cp=48381&provincia=Guadalajara&ntc=4673726880012931&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Vino+Rioja&precio=100&cantidad=40&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=kesling8&pwd=g8629e8d9r&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=7219&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=mazarick1&password=l5r78gea&nombre=Rakin&apellidos=Pampanas+Soto&email=lachens%40prestoesesto.py&dni=39672063F&direccion=Calle+Finlandia%2C+46%2C+6-A&ciudad=Salobral&cp=25187&provincia=Granada&ntc=9571001152380461&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=bockaj&password=d0l1tativ8&nombre=S%E1ia&apellidos=Cardona&email=dewey-wellhammer%40salacomplices.nz&dni=96304534S&direccion=Callejon+Pavaneras%2C+69+6%3FB&ciudad=Mod%FAbar+de+la+Emparedada&cp=16707&provincia=Navarra&ntc=3065165787609619&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=1&nombre=Vino+Rioja&precio=100&cantidad=36&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=beique&pwd=carricar&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=9398&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=parypa&password=2eSCo63ENti2&nombre=Yaiti&apellidos=Andara+Francino&email=tolan.herlie%40movil-google.mx&dni=77077342H&direccion=Quintana+19%2C+13F&ciudad=Sant+Jordi%2FSan+Jorge&cp=10335&provincia=Madrid&ntc=0945394059491882&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=chaiman&password=ge2613an0&nombre=Zulaica&apellidos=Castellanos+G%F2dia&email=weinberger%40privatebanking.com.nz&dni=27340064X&direccion=San+Ambrosio+65+6%3FH&ciudad=Vega+de+Valcarce&cp=01548&provincia=A+Coru%F1a&ntc=4592439732004751&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=2&nombre=Jam%F3n+Ib%E9rico&precio=39&cantidad=57&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=thibaud79&pwd=r393lin3nte&remember=on&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=1,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=6684&B1=Pasar+por+caja,0
/tienda1/publico/registro.jsp /modo=registro&login=triantap&password=lobera&nombre=Odelia&apellidos=Moll+Aybar&email=liedtke_truhitte%40ac-activos.gob&dni=75013152D&direccion=C%2F+Murillo%2C+106+5C&ciudad=Abrucena&cp=09191&provincia=Valencia&ntc=6986219017290364&B1=Registrar,0
/tienda1/publico/vaciar.jsp /B2=Vaciar+carrito,0
/tienda1/miembros/editar.jsp /modo=registro&login=suzane&password=enmade6ar&nombre=Nancy&apellidos=Del+Cid+Labastie&email=papa%40opel-e-flex.cg&dni=02629071X&direccion=Wifred+i+92%2C+&ciudad=Margalef&cp=31049&provincia=Valencia&ntc=2362165176324303&B1=Registrar,0
/tienda1/publico/anadir.jsp /id=3&nombre=Vino+Rioja&precio=100&cantidad=97&B1=A%F1adir+al+carrito,0
/tienda1/publico/autenticar.jsp /modo=entrar&login=smithdea&pwd=lucembu%24rgu%E9s&remember=off&B1=Entrar,0
/tienda1/publico/caracteristicas.jsp /id=2,0
/tienda1/publico/entrar.jsp /errorMsg=Credenciales+incorrectas,0
/tienda1/publico/pagar.jsp /modo=insertar&precio=119&B1=Pasar+por+caja,0
